Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Month,Calendar_Year
200597AB01903,258950,665430,-4.255282,55.861398,97,3,2,1,11/03/2005,6,12:40:00,926,S12000043,6,0,2,30,6,2,6,0,0,5,1,1,1,0,0,1,1,,3,2005
200597AB01909,259380,665600,-4.248506,55.86305,97,2,1,1,14/09/2005,4,16:30:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,,9,2005
200597AB02001,258840,665810,-4.257236,55.864778,97,3,2,1,14/01/2005,6,00:05:00,926,S12000043,6,0,2,30,6,2,6,0,0,4,4,1,1,0,0,1,1,,1,2005
200597AB02004,259070,664870,-4.253075,55.856406,97,3,2,1,08/04/2005,6,15:00:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,5,5,2,0,0,1,1,,4,2005
200597AB02005,258950,664910,-4.255011,55.85673,97,3,1,1,17/05/2005,3,16:15:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,6,1,1,,5,2005
200597AB02008,259810,666510,-4.242111,55.871346,97,3,1,1,06/08/2005,7,19:00:00,926,S12000043,6,0,6,30,3,4,3,8,0,5,1,1,1,0,0,1,1,,8,2005
200597AB02009,258840,665110,-4.256871,55.858493,97,3,2,1,15/09/2005,5,23:25:00,926,S12000043,6,0,2,30,6,2,6,0,0,4,4,1,1,0,6,1,2,,9,2005
200597AB02012,259430,665600,-4.247707,55.863065,97,3,1,1,08/12/2005,5,17:00:00,926,S12000043,6,0,9,30,6,4,6,0,0,0,4,2,2,0,0,1,2,,12,2005
200597AB02106,258860,665880,-4.256953,55.865412,97,3,1,1,16/06/2005,5,16:12:00,926,S12000043,6,0,2,30,9,2,6,0,0,0,1,8,2,0,0,1,1,,6,2005
200597AB02110,258710,665410,-4.259103,55.861148,97,3,1,1,06/10/2005,5,12:50:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,,10,2005
200597AB02112,259100,665040,-4.252685,55.857941,97,2,1,1,12/12/2005,2,14:45:00,926,S12000043,6,0,2,30,9,2,6,0,0,4,1,1,1,0,0,1,1,,12,2005
200597AB02209,259040,664880,-4.253559,55.856487,97,3,1,1,18/09/2005,1,14:15:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,,9,2005
